Area,Boro,AreaType,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
All Downtown,Manhattan,submarket,88.5,69,49,50,44.5,57,65,74,86,69,61,70,104,86,61,55.5,63,70,97,88,96.5,74.5,68,90,92,84,98
All Midtown,Manhattan,submarket,89.5,63,49,46,54,63,69,72,65,71.5,59,89,104.5,94,72,59,68.5,78,86,104.5,108,64.5,77,102,99,94,60
All Upper East Side,Manhattan,submarket,88,74,53,43,52,51,66,70,66.5,59,56,71,102,61.5,90,60,49,73,86.5,82,87,74,63,96,105,97,55
All Upper Manhattan,Manhattan,submarket,100.5,63,51,43,43,44,59,69,76,56,75.5,79,91,93,64,74,60,62,83.5,70.5,81,61.5,70,67,103,93,77
All Upper West Side,Manhattan,submarket,84,49.5,49.5,39,38,49,52,68.5,69,46,56,76,86,52,47,49.5,43,58,68,80,107,66,55,89.5,92,87,57
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,35,,56,,51,,58.5,49,54,,105,43,44,44,32,50,61.5,,66,66,52,90,29,52
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,75.5,,36,61,113.5,78.5,118,65.5,,47.5,,,,53,56,107,59,,70,,100.5,82,,,32,55.5
Bay Ridge,Brooklyn,neighborhood,,,98.5,49,42.5,53,44,44,96,42,41,77,99,73,49,61,35,57,81,83,50.5,68,71,112,93,61.5,75
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,73.5,,,,,,,122,,,,60,67,110,53,
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,Brooklyn,neighborhood,86,95,58,74.5,51,46.5,57,72,75.5,49.5,69,106,84,113,74.5,44,69,45,70,64,63.5,83.5,68.5,73,105.5,95,83
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,Brooklyn,neighborhood,78.5,,,,43,44,,,,,,,,,59,116,,,,,,,190,423,,,
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowne Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,47,26,,,85.5,,,,
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Bronx,borough,139,122.5,75,67,76.5,109.5,78,123.5,57.5,119,104.5,72.5,108.5,99,67,75,61,66,89.5,73,91,111,89,56,107.5,112,67
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Brooklyn,borough,84,66.5,44,39,39,49,56,60.5,68,46,59,68.5,85,76,56,52,46,60,76,68,82,63,67,86,90,76,54.5
Brooklyn Heights,Brooklyn,neighborhood,,,28.5,28,37,49,40,,,44.5,68,60,,45,37,47,33,39,71,67,,47,54,39.5,,34,24.5
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushwick,Brooklyn,neighborhood,,91,100,74,47.5,,78,72,75.5,,101.5,80,,82,125,,105,105,80.5,,,107,59,,55.5,52.5,50
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,51,,,,,,,,,,,,,84,76,73,,,,,
Carroll Gardens,Brooklyn,neighborhood,,,,29,,35.5,,,,,,,,,132,,,43,,,56,,,,,,
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Harlem,Manhattan,neighborhood,100,94,60.5,76,43,46,61,79.5,72.5,43,75,79,156,84,68,85.5,62,85,119,58.5,83,72,82,75,107,90,94
Central Park South,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Queens,Queens,submarket,73,61,51.5,45,41,47.5,50,59,49.5,45,57,57,87.5,91.5,48,56,56,47,57,65.5,72.5,76,68,83,73,80,61.5
Chelsea,Manhattan,neighborhood,63,34.5,48,63.5,43.5,46.5,49,100,85,45,99.5,59,89,80,63.5,55,92,76,65.5,85,96.5,79.5,67,179.5,83,97,43
Chinatown,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hill,Brooklyn,neighborhood,96,39,30,29.5,43,42,56,49,31,33,61,67,,62,43,40,32,58,80,77,45.5,39.5,,,92.5,,37
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,,,,,,30,,,,,,,,,,,24.5,,,,,,56,,,,
College Point,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia St Waterfront District,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concourse,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coney Island,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Heights,Brooklyn,neighborhood,,111,27,40,31.5,62,40,43,72,83,43,49,77,30.5,117,38.5,90,70,72,101,,125,64,132,79,91,83.5
DUMBO,Brooklyn,neighborhood,,,51,,,48,,84,,,,,,,,184,74,,,,,135.5,,,,,
Ditmas Park,Brooklyn,neighborhood,,,42,28,,,,,,,,,,,,,35.5,66,,,,,,,,,52.5
Douglaston,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,neighborhood,,34.5,,25,35.5,49,43.5,28,51,,29,54,,,,35,48.5,54,30.5,,,37,369,,85,60,44
Dyker Heights,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,90,,,,,105,,,
East Brooklyn,Brooklyn,submarket,77.5,97,51,60,47,54.5,60.5,65.5,72.5,70,68,83.5,77.5,95,90.5,48.5,76.5,60.5,71,73,56,87,62,76,86.5,80,75
East Elmhurst,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Flatbush,Brooklyn,neighborhood,,,,,,60.5,,,,,84,,,90.5,85.5,80,,70,98,,89,,42,58,,,110
East Harlem,Manhattan,neighborhood,,81,,,,39,58,,,,,,,,121.5,,85.5,,,,,,,,,,
East New York,Brooklyn,neighborhood,56,,,,,75,,66,40,70,,,,102,65,,110,,64,,46.5,,70,,71,54,109.5
East Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Village,Manhattan,neighborhood,,25,55.5,34.5,47,41.5,60.5,69,55,49,57,82,98,61,62,93.5,43,42,95,80.5,134,32,61,64,60.5,64.5,52
Eastchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edenwald,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmhurst,Queens,neighborhood,,,,,,,,,,,,,,,,,,,44,,,,,,,,
Financial District,Manhattan,neighborhood,97,96,59,63,54,53,75,119,126.5,63,83,52,93.5,103,104,78,67,65.5,128,77,87,105,63.5,245,166.5,136,108
Flatbush,Brooklyn,neighborhood,,36,57,,,,,,,,,,,,,24,48,,,,,84.5,49,144,,,
Flatiron,Manhattan,neighborhood,87.5,67,56,47,54.5,77,56.5,56,82,115,68,145,133,90,126,36,68.5,90,115,58.5,95.5,164.5,121,115,136,47.5,335
Flatlands,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floral Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flushing,Queens,neighborhood,,,84,,,,,,,,42,,,34,,,,,65,65,,,59,64,,,37.5
Fordham,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills,Queens,neighborhood,89,66,50,46.5,47.5,55,50,55,52,50.5,52,50,81,71,44,58,59,48.5,59.5,73,78,90.5,66.5,90,72,75.5,55
Fort Greene,Brooklyn,neighborhood,,,39.5,,,48.5,,31,,,,,,519,,,44,,,,,52.5,,,,,33
Fresh Meadows,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerritsen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Oaks,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gowanus,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gramercy Park,Manhattan,neighborhood,85.5,29,32.5,24,38,38,58,48,49.5,29,42,71,102,35,62.5,34,34,58.5,73.5,126,106.5,36.5,82.5,,91.5,78,52
Gravesend,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,55,,59,,100,,63
Greenpoint,Brooklyn,neighborhood,,,,38,,62,,107,,96.5,,67,116,35,65,91,54,85,71.5,131,328,52.5,118,,,,211
Greenwich Village,Manhattan,neighborhood,88.5,96,40,45,42,55,51,39,77,47.5,60,55,97,43,49.5,45,53,71.5,72,86,74,88.5,56,84.5,98.5,122,94
Greenwood,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,116
Hamilton Heights,Manhattan,neighborhood,,47,,42,,,66,,,,,,,,60,,,61,63.5,,,79,,,,,128.5
Highbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillcrest,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollis,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Beach,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunts Point,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwood,Manhattan,neighborhood,,,49,,,,,71,,,,,,,,,,,,49,,,,,,,
Jackson Heights,Queens,neighborhood,44,51,51.5,,33,67,42,49,44,40,57,57,65,120.5,74,39,,58,64,58.5,72,78,60.5,69,62,66,64
Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica Estates,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica Hills,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington,Brooklyn,neighborhood,,,,,,37.5,46,,,42,,,,,,,,42,44,65,54,63.5,61,99,,96,38
Kew Gardens,Queens,neighborhood,,,,,,62,,,,,,,,,,,,,,,,54,,,,,64
Kew Gardens Hills,Queens,neighborhood,,,,,,,,,,,,,,,,,,,64,47,,,,,,,56.5
Kingsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laconia,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurelton,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Italy,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Neck,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island City,Queens,neighborhood,80,42,60,56,65,52.5,84,58,75.5,51,55.5,71,70,122,52,46,65,57,88,122,221.5,166,254,99,74,,56
Longwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower East Side,Manhattan,neighborhood,,,57,78,33,42,,,44,,42,68,,,62.5,147,92,44,63.5,103.5,70,86,37,67,,95,119.5
Manhattan,Manhattan,borough,89,66,49,44,47,53.5,62,70,74,59,60,77,99,83,64,58,58,67,84,88,98,71,68,90,99,90,63
Manhattan Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattanville,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marble Hill,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maspeth,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melrose,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midtown,Manhattan,neighborhood,146.5,,149,81,98.5,166,89,132,,,62,127.5,112,156,157.5,86,74,105,114.5,196,79.5,115,124.5,211,,113,123
Midtown East,Manhattan,neighborhood,91,50.5,49,41,53,60,60.5,59.5,49,65.5,60,95.5,87,71,65,50.5,60,64,75,98,110,57.5,59,88,113.5,88,54
Midtown South,Manhattan,neighborhood,,,33,41.5,,46,,106,,141,,,,,,78,,152,105,205.5,100,,,,,,50
Midtown West,Manhattan,neighborhood,76.5,82,34,47,53,73,77,74.5,114,87.5,54.5,66,115,113,61,65.5,105,107.5,93,78,141,60,106.5,109,77.5,106.5,51
Midwood,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,110,63,,,,
Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningside Heights,Manhattan,neighborhood,,,36.5,35.5,,42,,,,,,,,,,,,,,,98,42.5,,,,,
Morris Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisania,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mott Haven,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYC,NYC,city,86,68.5,49.5,44,45,53,60,67,67,55,60,71,92,80,60,56,55,62,77,72,84,71,70,85,92,83,58
New Hyde Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Brooklyn,Brooklyn,submarket,108.5,34,38,44.5,49.5,72,61.5,91.5,101.5,86,80.5,79,115.5,74,65,82,73,73.5,101,94,115,82,71,95,77,97,79.5
North Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Queens,Queens,submarket,84,79,60.5,60,56,55,61.5,78,64,52,65,64,58.5,45,56,58,49.5,52,68,42.5,59,61.5,75,69,56,46,42
Northwest Brooklyn,Brooklyn,submarket,93,43.5,37,31,36.5,42.5,59,54,49,37,54.5,63,82.5,78,42,43.5,39.5,50,66,67.5,194.5,44,190,113,102,80.5,37
Northwest Queens,Queens,submarket,67,83,60.5,51,39,54,84,52,60,50,52,54,66,105,44,43,49,53,60.5,92.5,157,96.5,86,78,83,81,55
Norwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,33,,
Ocean Parkway,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Slope,Brooklyn,neighborhood,57,34,37,33,33,39,45,65,63,34.5,39,53,76.5,36,33,32.5,31.5,50,76,60,91.5,39.5,46,70,116,31,31
Parkchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Bay,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Gardens,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Parkway,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomonok,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Morris,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,Brooklyn,neighborhood,111.5,,34,29.5,31,39,,39,65.5,38,25,25.5,,,,33,35,477,165,33,55,41,44,44.5,,,38
Prospect Lefferts Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Park,Brooklyn,submarket,82,55,34,32,34,39,44,54,63,35,36,51,79,35.5,34.5,34,32,64.5,71,48,90,42,47,73,105,33.5,33
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Queens,Queens,borough,75,69.5,55.5,47,43,52.5,59,60,52,51.5,61,61,74,76,56,55,58,51,61,55,72,77,77,76.5,77,68,50
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5
Queensboro Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hook,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,1067,,,,,,
Rego Park,Queens,neighborhood,,,,,42,,,86,90,,119,,,,,56.5,54,38,,,72,,63,,,,45
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale,Bronx,neighborhood,162,139,96,92,84,119.5,103,145,89,133,166,59,139,99,103,80,87,86,112,85,110,124,109,67,125,117,64
Rockaway All,Queens,neighborhood,,,,,,,66.5,,,,,,,,,,,,,,,,99.5,,,,48
Roosevelt Island,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,,,40,36.5,34.5,58.5,66,63.5,52,46,69,79,81,,51,120.5,81,44,79.5,79.5,56,61,58,83,72,98,79.5
Soho,Manhattan,neighborhood,,70,42,63,40,44,,,124.5,261,71,97.5,222,64,44.5,76.5,53,109,159,,134,85,147.5,214,,148.5,182
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Brooklyn,Brooklyn,submarket,84,64,49,46.5,39,57,55,60,73,50.5,60,63,80,88.5,57,70,49,59,75,68,65.5,70,61,85.5,81,82,63.5
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,59.5,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,46,58,42,49.5,67,54,43,73.5,61,78,48.5,63.5,61,58,86.5,52,45,52,63,62.5,97,75,82.5,58,45
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Staten Island,borough,,,,,,,55.5,,,58.5,,111,,,,50,43,44.5,58,41,52,92,69,106,87.5,73,107
Stuyvesant Town/PCV,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,61.5,,,,
Sunset Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,49
The Rockaways,Queens,submarket,,,,,,,66.5,,,,,,,,,,,,,,,,99.5,,,,48
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribeca,Manhattan,neighborhood,,142,37,91,82,130.5,87,109,111,139,148.5,87,116,117.5,146,84,80.5,77,152.5,129,164,144.5,70.5,48.5,114,127,61
University Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper East Side,Manhattan,neighborhood,88,74,53,43,52,51,66,70,66.5,59,56,71,102,61.5,90,60,49,73,86.5,82,87,74,63,96,105,97,55
Upper West Side,Manhattan,neighborhood,84,49.5,49.5,39,38,49,52,68.5,69,46,56,76,86,52,47,49.5,43,58,68,80,107,66,55,89.5,92,87,57
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Heights,Manhattan,neighborhood,65.5,68,30,29,46,76,46,60,57,56,123,50,39,53,43.5,52.5,56,47,86,73.5,63,46,70,74,107,110,68
West Harlem,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Village,Manhattan,neighborhood,73,69,53,50,41,42.5,72,74,54,37.5,49.5,85.5,78,136,46,33,49,65,62,97,98,44,140.5,89.5,106,108,65
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Brooklyn,neighborhood,109,29,38,48,49,77,62,91,104.5,86,91.5,96,115.5,99,65,60.5,78,73.5,106,81,95.5,92,68,112.5,101,80,52.5
Windsor Terrace,Brooklyn,neighborhood,,,,,,,,60.5,,,,,,,,,28,32.5,55,,,35,,73,104,,
Woodhaven,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodlawn,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodstock,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,