"","neighbourhood","2016-01-01p","2016-01-01l","2016-02-01p","2016-02-01l","2016-03-01p","2016-03-01l","2016-04-01p","2016-04-01l","2016-05-01p","2016-05-01l","2016-06-01p","2016-06-01l","2016-07-01p","2016-07-01l","2016-08-01p","2016-08-01l","2016-09-01p","2016-09-01l","2016-10-01p","2016-10-01l","2016-11-01p","2016-11-01l","2016-12-01p","2016-12-01l","2017-01-01p","2017-01-01l","2017-02-01p","2017-02-01l","2017-03-01p","2017-03-01l","2017-04-01p","2017-04-01l","2017-05-01p","2017-05-01l","2017-06-01p","2017-06-01l","2017-07-01p","2017-07-01l","2017-08-01p","2017-08-01l","2017-09-01p","2017-09-01l","2017-10-01p","2017-10-01l","2017-11-01p","2017-11-01l","2017-12-01p","2017-12-01l","Boro","AreaType","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"42","East Village",3400,533,3500,425,3600,348,3600,348,3696,312,3600,300,3620,302,3600,295,3550,267,3525,254,3800,236,3800,239,3775,240,3699,211,3775,206,3725,194,3800,192,3900,189,3900,191,3800,191,3900,170,3900,167,3900,161,3850,166,"Manhattan","neighborhood",3150,3097,3200,3250,3300,3300,3299,3225,3150,3100,3100,3000,3000,3195,3195,3361,3350,3295,3277,3200,3000,3020,2900,2941.5,2995,3062.5,3050
"43","Eastchester",1850,6,2000,5,1700,3,1700,3,1700,5,1700,5,1700,6,1700,6,1700,6,1700,6,1700,5,1700,5,1700,5,1700,5,1700,5,1700,5,1700,6,1700,6,1700,6,1700,7,1700,7,1700,7,1700,7,1700,7,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"44","Edenwald",1595,1,1595,1,1699.75,10.5,1699.75,10.5,2197.5,2,3038,2,3038,2,3038,2,3038,2,3038,2,3038,2,3038,2,3276,1,3276,1,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"45","Elmhurst",1257.5,38,1215,36,1237,32,1237,32,1215,29,1387,24,1400,19,1399.5,22,1400,23,1400,21,1399.5,24,1400,23,1400,23,1400,21,1399,21,1375,19,1375,19,1399,17,1399.5,18,1399.5,16,1400,15,1399.5,18,1399.5,18,1400,19,"Queens","neighborhood",1750,1885,1850,1950,1850,2000,1987,1830,1895,1825,1825,1995,1949,2099,2000,2000,2100,2092.5,2100,2000,1997.5,1899,1899,1900,1950,1935,1935
"46","Financial District",4000,101,4050,76,3724.5,70,3724.5,70,4550,64,4300,58,3649.5,56,4000,49,4100,41,4500,41,4700,34,4699.5,38,4200,41,4000,35,4641,35,3925,40,4600,31,4600,29,3750,29,4299,33,4750,30,4000,35,3500,35,4000,31,"Manhattan","neighborhood",3500,3527.5,3550,3595,3600,3660,3700,3625.5,3665,3646.5,3500,3484,3450,3479.5,3591,3613,3650,3660,3785,3750,3700,3645,3644,3662,3600,3750,3645
"47","Flatbush",1500,167,1500,141,1500,123,1500,123,1500,122,1500,112,1500,125,1500,110,1597.5,106,1550,113,1525,110,1600,93,1500,91,1600,91,1600,88,1600,86,1537.5,84,1587.5,84,1625,78,1500,77,1600,69,1650,67,1625,70,1625,74,"Brooklyn","neighborhood",1850,1850,1850,1900,1895,1938,1900,1900,1900,1900,1900,1897,1895,1900,1900,1950,1950,2000,2100,2095,2000,2099,1998.5,1950,2000,2000,1999
"48","Flatlands",1987.5,18,1500,20,1737.5,16,1737.5,16,1737.5,16,1500,13,1750,12,1750,12,1750,14,1500,13,1500,13,1750,12,1750,12,1987.5,12,1750,12,1750,12,1750,12,1750,12,1750,12,1500,16,1500,16,1500,14,1500,14,1400,11,"Brooklyn","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,1800,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2100,2100,1850,2100,2105.5
"49","Flushing",1500,48,1500,52,1500,49,1500,49,1500,41,1500,41,1500,41,1500,45,1500,46,1500,42,1500,40,1500,38,1500,40,1500,34,1500,35,1500,35,1500,37,1500,36,1500,34,1500,37,1500,38,1464,28,1500,27,1500,27,"Queens","neighborhood",1800,1999.5,2100,2100,2200,2175,1862.5,1900,2097.5,2200,2100,2162.5,2200,2200,1970,2000,1992.5,2150,2250,2200,1950,2000,2000,1899.5,1962.5,1900,1800
"50","Fordham",1350,8,1300,5,1300,5,1300,5,1300,5,1250,3,1325,4,1250,3,1525,2,1525,2,1700,1,1450,2,1450,2,1550,2,1700,1,1700,1,1700,1,1750,2,1750,2,1750,2,1700,1,1750,2,1750,2,1700,1,"Bronx","neighborhood",1450,1350,1400,1462.5,1550,1550,1550,1550,1550,1500,1525,1460,1450,1625,1825,1700,1782.5,1782.5,1857.5,1825,1862.5,1812.5,1777.5,1777.5,1870,1717.5,1895
"51","Forest Hills",1900,34,1900,31,1750,19,1750,19,1750,19,1845,20,1900,19,1960,17,1960,17,1875,16,1875,14,1960,13,1700,13,1830,10,1700,9,1960,11,1960,11,1960,11,2330,12,2330,12,2330,12,2330,12,1960,13,1700,13,"Queens","neighborhood",2200,2195,2100,2150,2175,2150,2195,2197.5,2197.5,2150,2149,2150,2100,2100,2000,2000,1995,2100,2125,2125,2100,2100,2100,2050,1995,2000,2100
"52","Fort Greene",2800,129,2925,102,3025,94,3025,94,3000,98,3150,92,3196,94,3050,87,3100,81,3200,79,3196,70,3200,70,3200,67,3121,70,3400,61,3400,63,3350,62,3400,63,3250,62,3200,57,3200,53,3200,57,3200,55,3121,52,"Brooklyn","neighborhood",2700,2700,2797,2700,2800,2899,2900,3000,2900,2800,2785,2720,2780,2800,2857.5,3000,2900,2950,2900,2875,2832.5,2732.5,2700,2738,2725,2700,2700
"53","Fresh Meadows",1499,4,1499,4,1499,4,1499,4,1499,4,1599,3,1599,3,1599,3,1599,3,1599,3,4174.5,4,4174.5,4,4174.5,4,4174.5,4,6750,3,4074.5,4,6750,3,6750,3,6750,3,4074.5,2,4074.5,2,4074.5,2,6750,3,4074.5,2,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2150,2150,2050,2000,2750,2900,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"54","Gerritsen Beach",2700,1,2650,2,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,2700,1,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Brooklyn","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"55","Glendale",1000,2,1000,2,1000,2,1000,2,1000,2,1000,3,1050,2,1050,2,1050,2,1050,2,1050,2,1900,9,1800,9.5,1400,3,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Queens","neighborhood",1877.5,1875,1862.5,1875,1999,1999,1875,1937,2000,1900,1975,2000,2185,2200,2000,1999,2000,1999.5,2000,1950,1900,1995,1925,1900,1997.5,2000,2000
"56","Gowanus",3500,49,3800,37,3737.5,36,3737.5,36,3960,34,3400,33,3350,30,3300,31,3300,29,3350,28,3300,29,3255,30,3255,30,3400,29,3255,28,3210,29,3255,28,3205,26,3300,25,3255,24,3255,24,3255,26,3350,24,3300,25,"Brooklyn","neighborhood",3400,3395,3100,3200,3230.5,3000,3000,3277,3000,3000,3046,3000,3050,3000,2800,2760,2900,2900,2845,3000,3000,2798,2755,2695,2737.5,2750,2600
"57","Gravesend",1577.5,12,1577.5,12,1577.5,8,1577.5,8,1580,7,1575,9,1575,9,1687.5,8,1575,9,1687.5,8,1575,7,1900,6,1800,7,2000,7,2000,7,2000,7,1900,8,1900,8,1800,7,1800,7,1800,7,1800,7,1900,6,1900,6,"Brooklyn","neighborhood",1774.5,1725,1787,1850,1925,1985,1695,1762.5,1800,1825,1895,1772.5,1800,1895,1800,1800,1750,1800,1800,1712.5,1800,1762.5,1875,1735,1697.5,1725,1750
"58","Greenpoint",2259,228,2299,163,2200,139,2200,139,2200,124,2200,130,2200,128,2200,136,2200,127,2252.5,118,2252.5,118,2200,119,2200,117,1950,99,2000,99,2200,84,1900,89,1900,86,2100,82,2100,88,2200,87,1900,79,2255,81,2299,83,"Brooklyn","neighborhood",2725,2700,2750,2800,2800,2800,2850,2905,2895,2875,2850,2800,2800,2800,2750,2767.5,2799,2900,2950,2800,2850,2749,2699,2598.5,2600,2600,2744
"59","Greenwich Village",4000,94,4200,77,4350,56,4350,56,4500,54,4900,45,5000,52,5000,48,5000,46,4750,42,4800,39,4700,42,4500,45,4100,39,4500,32,4850,28,4900,31,5000,28,4900,29,5000,29,4500,30,5000,30,5000,29,5000,32,"Manhattan","neighborhood",4072.5,3900,3995,3900,3787.5,3825,3800,3875,3950,3900,3800,3800,3850,3875,3875,3800,3725,3590,3590,3500,3600,3600,3595,3595,3595,3895,3572.5
"60","Highbridge",2050,2,2050,2,3200,1,3200,1,3200,1,2050,2,1300,2,900,5,815,3,900,1,1750,9,1900,9,900,1,900,1,900,1,900,1,900,1,1812.5,10,1875,9,1819,9,900,1,900,1,1842.5,8,1821.25,8.5,"Bronx","neighborhood",1900,1900,2100,1650,1650,1700,1700,1700,1637.5,1699,1600,1549,1650,1650,1650,1587.5,1625,1687.5,1800,1750,2030,1820,1790,1790,1885,1970,1800
"61","Hollis",1375,4,2000,3,1375,2,1375,2,1375,2,1375,2,1375,2,1375,2,1375,2,2000,3,2000,3,2000,3,1375,2,750,3,1375,2,1375,2,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"62","Howard Beach",4032,1,4032,1,4032,1,4032,1,4032,1,4032,1,4032,1,4032,1,4032,1,4032,1,3128.5,2,3128.5,2,3128.5,2,2800,3,3128.5,2,3128.5,2,3128.5,2,2225,1,2225,1,2225,1,2225,1,1800,8,1842.5,8,1821.25,8.5,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2200,1950,2198.75,2123.75,1725,2098.75,2100,2100,2100,1800
"63","Hunts Point",800,2,850,1,850,1,850,1,850,1,940,2,910,3,900,3,820,3,820,3,870,1,870,1,1800,9.5,870,1,870,1,870,1,870,1,870,1,845,2,835,4,835,4,835,4,835,4,835,4,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,1650,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"64","Inwood",1600,59,1701,51,1699.5,40,1699.5,40,1699.5,40,1600,39,1525,34,1649.5,34,1600,33,1700,33,1701,29,1850,29,1850,29,1800,29,1850,27,1825,26,1850,23,1825,26,1950,21,1850,23,1825,24,1725.5,26,1775,24,1750,25,"Manhattan","neighborhood",1901,1791,1842,1950,1972.5,1850,1850,1800,1800,1785,1797.5,1790,1750,1800,1850,1875,1878,1829,1850,1850,1840,1850,1750,1795,1850,1850,1924.5
"65","Jackson Heights",1259.5,60,1350,53,1425,46,1425,46,1350,51,1280,45,1500,43,1500,42,1500,37,1500,35,1500,31,1500,30,1525,24,1525,22,1525,20,1525,20,1500,21,1500,23,1525,20,1500,23,1550,19,1500,21,1500,21,1500,22,"Queens","neighborhood",1850,1887.5,1800,1800,1800,1834,1900,1900,1895,1925,1950,1965,1950,1875,1900,1900,1950,1895,1850,1900,1900,1900,1982,1950,1900,1950,1900
"66","Jamaica",1000,15,975,16,950,15,950,15,975,16,975,16,1050,15,1176,17,1193,18,1256,16,1193,18,1176,17,1130,14,1025,16,1025,14,1050,13,1500,14,1355,16,1256,16,1256,18,1256,18,1256,18,1025,18,1025,14,"Queens","neighborhood",1994.5,1994,1972,2150,2197.5,2162.5,2195,2105,1875,1956,1902,1950,1855,1950,2010,2010,1992.5,2383,2725,2198.75,2123.75,1860,1828,1828,1995,1995,1995
"67","Jamaica Estates",7950,3,12000,1,1699.75,10.5,1699.75,10.5,1700,10,1675,10,12000,1,1748,10,12000,1,1700,9,7950,1,9975,2,9975,2,9975,2,9975,2,7950,1,12000,1,12000,1,12000,1,12000,1,12000,1,12000,1,12000,1,12000,1,"Queens","neighborhood",1612.5,1675,1595,1525,1612,1700,1700,1700,1700,1699,1724.5,1825,2222.5,1650,1650,1795,1550,1600,1795,2198.75,2123.75,1995,1995,1825,1800,1697.5,1800
"68","Jamaica Hills",1300,1,1300,1,1300,1,1300,1,1700,10,1675,10,1700,11,1748,10,1724,11,1700,9,1750,9,1900,9,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,1650,2167.5,2150,1925,2000,2100,2250,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"69","Kensington",1302,33,1300,30,1325,24,1325,24,1300,21,1300,26,1325,26,1300,25,1300,23,1300,24,1300,23,1300,19,1300,16,1300,15,1500,19,1500,17,1300,17,1400,14,1300,16,1300,16,1400,18,1500,19,1500,20,1500,23,"Brooklyn","neighborhood",2100,2025,2000,2100,2049.5,2000,2100,2182.5,2100,2150,2100,2100,2100,1995,1897,1900,1900,1999.5,2099,2050,2000,2050,2000,2000,2100,2100,2100
"70","Kew Gardens",1475,2,3725,2,1450,1,1450,1,1450,1,1447,3,1447,3,1748,10,1724,11,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,1450,1,"Queens","neighborhood",2100,1825,1832.5,1950,1975,1995,2000,2010,1850,1950,1950,2000,2000,1999,1999,2000,1850,1850,1850,1975,1950,2000,2000,2000,2000,1850,1950
"71","Kew Gardens Hills",1696,3,1696,3,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1748,2,1800,1,1800,1,1800,1,1800,1,1800,1,1800,1,1748,2,1842.5,8,1821.25,8.5,"Queens","neighborhood",1925,1875,1912.5,1954.5,1831,1853,1950,2050,2045,2013,2000,2006.5,1975,1975,1975,1950,1925,1875,1810.5,1975,1975,1985,1962.5,1850,1901.5,1874.5,1874.5
"72","Kingsbridge",1220,17,1224.5,14,1300,11,1300,11,1200,9,1250,10,1300,11,1400,9,1300,9,1300,9,1300,9,1214.5,8,1350,6,1264.5,6,1400,5,1500,6,1264.5,6,1400,5,1364.5,4,1364.5,4,1364.5,4,1600,5,1364.5,4,1364.5,4,"Bronx","neighborhood",1750,1700,1750,1762.5,1800,1800,1925,2017,2000,2017,2017,2050,2105,1950,1972.5,1800,1997.5,1800,1774.5,1750,1775,1800,1775,1750,1674.5,1750,1887.5
"73","Laurelton",2100,3,2100,3,2100,3,2100,3,2100,3,2100,3,2100,2,2100,3,2100,3,2100,3,2100,3,2100,3,2100,3,2550,4,2100,3,2100,3,2100,3,2100,3,2100,3,2100,3,2100,3,2100,3,2100,2,2100,3,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"74","Little Italy",2750,32,3300,25,2400,21,2400,21,2400,19,2500,22,2450,24,2300,20,2075,17,2750,16,2750,16,2500,15,3100,14,2900,17,3100,14,3255,11,3227.5,10,3227.5,10,3227.5,10,3227.5,8,3200,9,3495,9,3250,10,2700,10,"Manhattan","neighborhood",3600,3250,2800,2837.5,3485,3297.5,3500,3500,3325,3000,3000,3200,3125,3175,3175,3000,2799.5,2950,2900,3090,3060,2695,2750,2637.5,2600,2600,3250
"75","Little Neck",1640,14.5,1762.5,11.5,1699.75,10.5,1699.75,10.5,1700,10,3000,1,3000,1,3000,1,3000,1,3000,1,1750,9,1900,9,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2600,2550,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"76","Long Island City",1999,121,2200,111,1975,84,1975,84,1975,76,1950,83,2000,77,2000,78,2000,71,2000,71,2000,63,2284,54,2184,52,2300,52,2268,55,2134,50,2268,51,2200,53,2300,48,2300,46,2300,47,2250,42,2300,44,2284,42,"Queens","neighborhood",2995,3000,3110,3100,3150,3157.5,3150,3100,3035,2984,2960,2995,3027.5,3000,2977.5,2991.5,2964,3000,3069,3100,3000,2904,2829,2850,2826.5,2895,2950
"77","Longwood",1386,9,1386,9,1750,6,1750,6,2000,6,1875,4,2525,4,1500,5,1500,3,1500,3,1875,4,1875,4,1500,5,1799.5,6,1201.5,4,1201.5,4,1500,5,1500,5,1576.5,4,1576.5,4,1576.5,4,1451.5,6,1451.5,6,1451.5,4,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,1800,1575,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"78","Lower East Side",3150,284,3200,219,3200,200,3200,200,3200,185,3150,170,3300,168,3275,162,3200,148,3200,149,3083.5,138,3200,129,3080,119,3087,119,3080,115,3093.5,114,3200,114,3225,110,3200,104,3275,100,3275,86,3200,89,3275,78,3200,84,"Manhattan","neighborhood",3000,3000,2995,3100,3200,3345,3296.5,3300,3300,3097.5,3100,2950,2895,3100,3000,3035,3200,3195,3200,3199,3100,3000,2995,2950,2995,2950,3075
"79","Manhattan Beach",1640,14.5,3375,2,3300,2,3300,2,5500,1,1675,10,5500,1,5500,1,5500,1,5500,1,5500,1,5500,1,5500,1,3850,2,5500,1,5500,1,5500,1,5500,1,5500,1,5500,1,5500,1,5500,1,5500,1,5500,1,"Brooklyn","neighborhood",2100,2050,2100,2150,4100,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2500,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"80","Marble Hill",2100,2,1900,1,2100,1,2100,1,2100,1,2100,1,2100,1,2100,1,2100,1,1700,9,1750,9,1900,9,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Manhattan","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2200,2235,2123.75,2087,2098.75,2100,2100,2310,2105.5
"81","Maspeth",1399.5,16,1199.5,10,1100,9,1100,9,1100,10,1299,13,1199.5,12,1299,11,1299,11,1299,11,1299,11,1399.5,10,1399.5,10,1450,13,1374.5,12,1299,11,1299,11,1199.5,10,1299,11,1450,11,1374.5,10,1500,13,1475,12,1475,14,"Queens","neighborhood",1950,1825,2100,2100,2100,2200,2195,2200,2200,2100,2095,2097.5,2200,2500,2295,2000,2099,2100,2050,2200,2045,2100,2070,2150,2100,2045,2174.5
"82","Melrose",1200,1,1200,1,1800,2,1800,2,1800,2,1200,3,1800,2,1200,1,1200,1,1800,2,1800,2,1800,2,1800,2,1800,2,1800,2,1800,2,1800,2,1800,2,1200,1,1200,1,1800,2,1200,1,1200,1,1200,1,"Bronx","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,1712.5,1925,1982,2000,2198.75,2123.75,2087,1833,2100,2100,2100,2105.5
"83","Middle Village",1800,9,1800,9,1850,8,1850,8,1900,7,1900,7,1900,7,1900,7,2037.5,6,2037.5,6,2175,5,2037.5,6,2175,5,2175,5,2175,5,2175,5,2175,5,2175,5,2037.5,6,1900,5,2037.5,6,2037.5,6,2037.5,6,2037.5,6,"Queens","neighborhood",1775,1810,1925,1800,1850,2162.5,2000,1899,2000,2000,2050,2000,2100,2075,2150,2150,2025,2150,2000,1995,2200,2200,1772.5,1750,2000,1950,2000
"84","Midtown",4497,194,4500,148,4000,124,4000,124,4000,113,4250,109,4000,106,4000,96,4000,89,4250,87,4000,77,3980,69,4000,71,4000,79,3750,67,3750,69,3625,62,4000,57,4000,61,4190,56,4120,55,4400,54,4255,60,4280,60,"Manhattan","neighborhood",4063.5,4300,4010,4000,4095,4200,4021,3995,3960,3900,3900,3995,4000,4000,4000,4000,4200,4200,4200,3850,4000,3954.5,3900,4000,3950,3997.5,3965
"85","Midwood",1500,23,1400,23,1375,18,1375,18,1400,16,1400,13,1375,20,1375,14,1400,16,1500,14,1600,16,1400,11,1400,10,1400,8,1400,10,1400,10,1400,9,1400,10,1400,8,1400,9,1400,8,1400,7,1400,6,1400,4,"Brooklyn","neighborhood",1750,1800,1850,1850,1897.5,1932.5,1850,1812.5,1850,1700,1750,1772.5,1800,1750,1825,1800,1799,1800,1835,1735,1850,1787,1825,1750,1795,1750,1725
